Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,66.574,69.429,72.046,72.284,72.523,72.763,73.003,73.241,73.471,73.689,73.892,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,68.899,72.761,75.089,75.289,75.495,75.707,75.923,76.143,76.365,76.584,76.8,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,64.572,68.602,70.349,70.543,70.736,70.928,71.117,71.302,71.482,71.656,71.825,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,64,68.875,71.21,71.449,71.692,71.935,72.175,72.412,72.644,72.872,73.096,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,48.775,53.279,55.622,55.945,56.288,56.642,57.001,57.359,57.713,58.061,58.402,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,49.588,55.273,62.193,62.732,63.238,63.726,64.201,64.664,65.111,65.538,65.941,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,69.47560976,70.41707317,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439,77.64146341,78.09268293,78.54390244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,61.95,47.49,46.601,48.141,49.862,51.699,53.569,55.359,56.962,58.319,59.401,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,47.099,51.941,61.627,62.505,63.281,63.961,64.547,65.048,65.482,65.872,66.24,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,76.11463415,78.43414634,80.58780488,80.83902439,81.0902439,81.34146341,81.59268293,81.79512195,82.04634146,82.29756098,82.54878049,..
